symbol,verdict,strike,lots,entry_premium,exit_premium,gross_pnl,brokerage_paid,net_pnl,pnl_pct,exit_reason,cum_pnl,equity,peak,drawdown
NIFTY,BUY_PE,24050,15,190.39,119.33,-26646.58,40.0,-26686.58,-37.38,sl_hit,-26686.58,473313.42,473313.42,0.0
NIFTY,BUY_PE,24250,14,198.96,180.06,-6616.31,40.0,-6656.31,-9.56,time_exit,-33342.89,466657.11,473313.42,-1.4063218406103926
NIFTY,BUY_PE,24250,13,204.25,281.45,25089.14,40.0,25049.14,37.74,target_hit,-8293.75,491706.25,491706.25,0.0
NIFTY,BUY_PE,24050,14,207.14,236.75,10365.11,40.0,10325.11,14.24,time_exit,2031.3600000000006,502031.36,502031.36,0.0
NIFTY,BUY_PE,23950,15,195.77,300.52,39282.56,40.0,39242.56,53.45,target_hit,41273.92,541273.92,541273.92,0.0
BANKNIFTY,BUY_PE,57200,11,447.86,105.96,-56414.13,40.0,-56454.13,-76.4,sl_hit,-15180.21,484819.79,541273.92,-10.429863312091605
BANKNIFTY,BUY_PE,58000,9,492.23,768.89,37349.24,40.0,37309.24,56.15,target_hit,22129.03,522129.03,541273.92,-3.537005810292876
RELIANCE,BUY_CE,1280,12,24.52,28.44,11770.35,40.0,11730.35,15.95,time_exit,33859.38,533859.38,541273.92,-1.3698313785375134
RELIANCE,BUY_CE,1280,10,27.56,22.2,-13406.2,40.0,-13446.2,-19.52,sl_hit,20413.179999999997,520413.18,541273.92,-3.854007966982789
RELIANCE,BUY_CE,1280,9,30.46,28.81,-3709.47,40.0,-3749.47,-5.47,time_exit,16663.709999999995,516663.71,541273.92,-4.546720078440139
RELIANCE,BUY_CE,1280,12,24.92,26.13,3627.0,40.0,3587.0,4.8,time_exit,20250.709999999995,520250.71,541273.92,-3.8840241924089045
RELIANCE,BUY_CE,1280,9,31.15,33.86,6096.8,40.0,6056.8,8.64,time_exit,26307.509999999995,526307.51,541273.92,-2.765034384069351
RELIANCE,BUY_CE,1300,13,22.7,40.79,58793.48,40.0,58753.48,79.64,target_hit,85060.98999999999,585060.99,585060.99,0.0
RELIANCE,BUY_CE,1320,14,20.96,7.4,-47475.74,40.0,-47515.74,-64.77,sl_hit,37545.24999999999,537545.25,585060.99,-8.121501999304378
RELIANCE,BUY_PE,1300,10,29.29,26.13,-7894.77,40.0,-7934.77,-10.84,sl_hit,29610.479999999992,529610.48,585060.99,-9.477731543851524
RELIANCE,BUY_PE,1300,10,28.44,20.33,-20263.15,40.0,-20303.15,-28.56,sl_hit,9307.32999999999,509307.33,585060.99,-12.947993678402653
RELIANCE,BUY_CE,1300,12,23.86,14.5,-28081.68,40.0,-28121.68,-39.29,sl_hit,-18814.35000000001,481185.64999999997,585060.99,-17.75461734339868
RELIANCE,BUY_CE,1280,9,30.2,20.6,-21608.56,40.0,-21648.56,-31.86,sl_hit,-40462.91000000001,459537.08999999997,585060.99,-21.45484011846355
RELIANCE,BUY_CE,1280,10,25.25,42.51,43143.0,40.0,43103.0,68.28,target_hit,2640.0899999999892,502640.08999999997,585060.99,-14.087574015146698
TCS,BUY_PE,2040,19,22.04,0.5,-71620.5,40.0,-71660.5,-97.79,sl_hit,-69020.41,430979.58999999997,585060.99,-26.335955162554935
TCS,BUY_CE,2060,11,33.15,42.57,18135.09,40.0,18095.09,28.36,target_hit,-50925.32000000001,449074.68,585060.99,-23.243099834771073
TCS,BUY_CE,2100,14,26.53,100.09,180229.34,40.0,180189.34,277.22,target_hit,129264.01999999999,629264.02,629264.02,0.0
TCS,BUY_CE,2180,13,32.1,17.67,-32835.84,40.0,-32875.84,-45.02,sl_hit,96388.18,596388.1799999999,629264.02,-5.224490667685097
TCS,BUY_CE,2180,16,25.39,32.81,20785.55,40.0,20745.55,29.18,target_hit,117133.73,617133.73,629264.02,-1.9276948330845354
TCS,BUY_CE,2180,13,31.74,54.65,52120.18,40.0,52080.18,72.12,target_hit,169213.91,669213.91,669213.91,0.0
TCS,BUY_CE,2220,14,29.71,44.69,36688.81,40.0,36648.81,50.35,target_hit,205862.72,705862.72,705862.72,0.0
TCS,BUY_CE,2240,12,34.21,26.54,-16111.94,40.0,-16151.94,-22.48,sl_hit,189710.78,689710.78,705862.72,-2.288255144003064
TCS,BUY_CE,2260,11,38.75,95.18,108627.68,40.0,108587.68,145.57,target_hit,298298.45999999996,798298.46,798298.46,0.0
TCS,BUY_CE,2360,14,30.18,65.25,85921.74,40.0,85881.74,116.15,target_hit,384180.19999999995,884180.2,884180.2,0.0
TCS,BUY_CE,2440,11,36.33,41.91,10734.29,40.0,10694.29,15.29,time_exit,394874.48999999993,894874.49,894874.49,0.0
TCS,BUY_CE,2460,14,30.15,0.5,-72642.5,40.0,-72682.5,-98.4,sl_hit,322191.98999999993,822191.99,894874.49,-8.122088718832515
TCS,BUY_CE,2380,11,35.94,61.06,48357.83,40.0,48317.83,69.84,target_hit,370509.81999999995,870509.82,894874.49,-2.7226913128342773
